ID,Year,Month,Region,POE,Crossing,Modes,Northbound Crossing
200912Fort Hancock-El Porvenir BridgeBuses,2009,12,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0
200912Fort Hancock-El Porvenir BridgeTrucks,2009,12,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0
200912Fort Hancock-El Porvenir BridgePOVs,2009,12,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,9683
200912Fort Hancock-El Porvenir BridgePedestrians,2009,12,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,153
200912Fort Hancock-El Porvenir BridgeRailcars,2009,12,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Railcars,0
200912Presidio-Ojinaga International BridgeBuses,2009,12,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,14
200912Presidio-Ojinaga International BridgeTrucks,2009,12,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,776
200912Presidio-Ojinaga International BridgePOVs,2009,12,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,65913
200912Presidio-Ojinaga International BridgePedestrians,2009,12,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,4934
200912Presidio-Ojinaga International BridgeRailcars,2009,12,El Paso,Presidio,Presidio-Ojinaga International Bridge,Railcars,0
200912Ysleta BridgeBuses,2009,12,El Paso,Ysleta,Ysleta Bridge,Buses,9
200912Ysleta BridgeTrucks,2009,12,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,25169
200912Ysleta BridgePOVs,2009,12,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,162435
200912Ysleta BridgePedestrians,2009,12,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,116550
200912Ysleta BridgeRailcars,2009,12,El Paso,Ysleta,Ysleta Bridge,Railcars,0
200912Del Rio International BridgeBuses,2009,12,Laredo,Del Rio,Del Rio International Bridge,Buses,0
200912Del Rio International BridgeTrucks,2009,12,Laredo,Del Rio,Del Rio International Bridge,Commercial Trucks,3954
200912Del Rio International BridgePOVs,2009,12,Laredo,Del Rio,Del Rio International Bridge,Passenger Vehicles,106986
200912Del Rio International BridgePedestrians,2009,12,Laredo,Del Rio,Del Rio International Bridge,Pedestrians/ Bicyclists,5617
200912Del Rio International BridgeRailcars,2009,12,Laredo,Del Rio,Del Rio International Bridge,Railcars,0
200912Lake Amistad Dam CrossingBuses,2009,12,Laredo,Del Rio,Lake Amistad Dam Crossing,Buses,0
200912Lake Amistad Dam CrossingTrucks,2009,12,Laredo,Del Rio,Lake Amistad Dam Crossing,Commercial Trucks,0
200912Lake Amistad Dam CrossingPOVs,2009,12,Laredo,Del Rio,Lake Amistad Dam Crossing,Passenger Vehicles,5395
200912Lake Amistad Dam CrossingPedestrians,2009,12,Laredo,Del Rio,Lake Amistad Dam Crossing,Pedestrians/ Bicyclists,0
200912Lake Amistad Dam CrossingRailcars,2009,12,Laredo,Del Rio,Lake Amistad Dam Crossing,Railcars,0
200912Camino Real International BridgeBuses,2009,12,Laredo,Eagle Pass,Camino Real International Bridge,Buses,70
200912Camino Real International BridgeTrucks,2009,12,Laredo,Eagle Pass,Camino Real International Bridge,Commercial Trucks,6976
200912Camino Real International BridgePOVs,2009,12,Laredo,Eagle Pass,Camino Real International Bridge,Passenger Vehicles,132792
200912Camino Real International BridgePedestrians,2009,12,Laredo,Eagle Pass,Camino Real International Bridge,Pedestrians/ Bicyclists,10970
200912Camino Real International BridgeRailcars,2009,12,Laredo,Eagle Pass,Camino Real International Bridge,Railcars,0
200912Eagle Pass International BridgeBuses,2009,12,Laredo,Eagle Pass,Eagle Pass International Bridge,Buses,0
200912Eagle Pass International BridgeTrucks,2009,12,Laredo,Eagle Pass,Eagle Pass International Bridge,Commercial Trucks,0
200912Eagle Pass International BridgePOVs,2009,12,Laredo,Eagle Pass,Eagle Pass International Bridge,Passenger Vehicles,103251
200912Eagle Pass International BridgePedestrians,2009,12,Laredo,Eagle Pass,Eagle Pass International Bridge,Pedestrians/ Bicyclists,57854
200912Eagle Pass International BridgeRailcars,2009,12,Laredo,Eagle Pass,Eagle Pass International Bridge,Railcars,0
200912Union Pacific Eagle Pass Railroad BridgeBuses,2009,12,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Buses,0
200912Union Pacific Eagle Pass Railroad BridgeTrucks,2009,12,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Commercial Trucks,0
200912Union Pacific Eagle Pass Railroad BridgePOVs,2009,12,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Passenger Vehicles,0
200912Union Pacific Eagle Pass Railroad BridgePedestrians,2009,12,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Pedestrians/ Bicyclists,0
200912Union Pacific Eagle Pass Railroad BridgeRailcars,2009,12,Laredo,Eagle Pass,Union Pacific Eagle Pass Railroad Bridge,Railcars,13152
200912Canadian Pacific Kansas City Laredo Railroad BridgeBuses,2009,12,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Buses,0
200912Canadian Pacific Kansas City Laredo Railroad BridgeTrucks,2009,12,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Commercial Trucks,0
200912Canadian Pacific Kansas City Laredo Railroad BridgePOVs,2009,12,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Passenger Vehicles,0
200912Canadian Pacific Kansas City Laredo Railroad BridgePedestrians,2009,12,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Pedestrians/ Bicyclists,0
200912Canadian Pacific Kansas City Laredo Railroad BridgeRailcars,2009,12,Laredo,Laredo,Canadian Pacific Kansas City Laredo Railroad Bridge,Railcars,24732
200912Colombia Solidarity BridgeBuses,2009,12,Laredo,Laredo,Colombia Solidarity Bridge,Buses,0
200912Colombia Solidarity BridgeTrucks,2009,12,Laredo,Laredo,Colombia Solidarity Bridge,Commercial Trucks,23677
200912Colombia Solidarity BridgePOVs,2009,12,Laredo,Laredo,Colombia Solidarity Bridge,Passenger Vehicles,36361
200912Colombia Solidarity BridgePedestrians,2009,12,Laredo,Laredo,Colombia Solidarity Bridge,Pedestrians/ Bicyclists,553
200912Colombia Solidarity BridgeRailcars,2009,12,Laredo,Laredo,Colombia Solidarity Bridge,Railcars,0
