ID,Year,Region,POE,Crossing,Modes,Northbound Crossing
2009-PASO-Pedestrians,2009,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,5383324
2009-PASO-Railcars,2009,El Paso,El Paso,Paso del Norte Bridge,Railcars,0
2009-FORT-Buses,2009,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0
2009-FORT-Trucks,2009,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0
2009-FORT-POVs,2009,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,113137
2009-FORT-Pedestrians,2009,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,1915
2009-FORT-Railcars,2009,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Railcars,0
2009-PRES-Buses,2009,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,229
2009-PRES-Trucks,2009,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,7040
2009-PRES-POVs,2009,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,716434
2009-PRES-Pedestrians,2009,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,72691
2009-PRES-Railcars,2009,El Paso,Presidio,Presidio-Ojinaga International Bridge,Railcars,0
2009-YSLE-Buses,2009,El Paso,Ysleta,Ysleta Bridge,Buses,82
2009-YSLE-Trucks,2009,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,315947
2009-YSLE-POVs,2009,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,2395551
2009-YSLE-Pedestrians,2009,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,1203861
2009-YSLE-Railcars,2009,El Paso,Ysleta,Ysleta Bridge,Railcars,0
2009-DELR-Buses,2009,Laredo,Del Rio,Del Rio International Bridge,Buses,6
2009-DELR-Trucks,2009,Laredo,Del Rio,Del Rio International Bridge,Commercial Trucks,49500
2009-DELR-POVs,2009,Laredo,Del Rio,Del Rio International Bridge,Passenger Vehicles,1322017
2009-DELR-Pedestrians,2009,Laredo,Del Rio,Del Rio International Bridge,Pedestrians/ Bicyclists,61631
2009-DELR-Railcars,2009,Laredo,Del Rio,Del Rio International Bridge,Railcars,0
2009-LAKA-Buses,2009,Laredo,Del Rio,Lake Amistad Dam Crossing,Buses,0
2009-LAKA-Trucks,2009,Laredo,Del Rio,Lake Amistad Dam Crossing,Commercial Trucks,0
2009-LAKA-POVs,2009,Laredo,Del Rio,Lake Amistad Dam Crossing,Passenger Vehicles,54396
2009-LAKA-Pedestrians,2009,Laredo,Del Rio,Lake Amistad Dam Crossing,Pedestrians/ Bicyclists,0
2009-LAKA-Railcars,2009,Laredo,Del Rio,Lake Amistad Dam Crossing,Railcars,0
2009-CAMI-Buses,2009,Laredo,Eagle Pass,Camino Real International Bridge,Buses,1364
2009-CAMI-Trucks,2009,Laredo,Eagle Pass,Camino Real International Bridge,Commercial Trucks,83254
2009-CAMI-POVs,2009,Laredo,Eagle Pass,Camino Real International Bridge,Passenger Vehicles,1674933
