Year,Month,Region,POE,Crossing,Modes,Northbound Crossing,source
2025,5,El Paso,Marcelino Serna,Marcelino Serna Bridge,Pedestrians/ Bicyclists,5939,ELP_pdf
2025,5,El Paso,Presidio,Boquillas,Buses,0,ELP_pdf
2025,5,El Paso,Presidio,Boquillas,Commercial Trucks,0,ELP_pdf
2025,5,El Paso,Presidio,Boquillas,Passenger Vehicles,0,ELP_pdf
2025,5,El Paso,Presidio,Boquillas,Pedestrians/ Bicyclists,1403,ELP_pdf
2025,5,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,190,ELP_pdf
2025,5,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,869,ELP_pdf
2025,5,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,62288,ELP_pdf
2025,5,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,15511,ELP_pdf
2025,5,El Paso,Ysleta,Ysleta Bridge,Buses,0,ELP_pdf
2025,5,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,50412,ELP_pdf
2025,5,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,328635,ELP_pdf
2025,5,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,171098,ELP_pdf
2025,6,El Paso,El Paso,Bridge of the Americas,Buses,826,ELP_pdf
2025,6,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,14548,ELP_pdf
2025,6,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,290891,ELP_pdf
2025,6,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,90315,ELP_pdf
2025,6,El Paso,El Paso,El Paso Railroad Bridges,Railcars,9805,ELP_pdf
2025,6,El Paso,El Paso,Good Neighbor Bridge,Buses,0,ELP_pdf
2025,6,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0,ELP_pdf
2025,6,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,148979,ELP_pdf
2025,6,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0,ELP_pdf
2025,6,El Paso,El Paso,Paso del Norte Bridge,Buses,338,ELP_pdf
2025,6,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0,ELP_pdf
2025,6,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,229921,ELP_pdf
2025,6,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,33814,ELP_pdf
2025,6,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0,ELP_pdf
2025,6,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0,ELP_pdf
2025,6,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,10517,ELP_pdf
2025,6,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,146,ELP_pdf
2025,6,El Paso,Marcelino Serna,Marcelino Serna Bridge,Buses,0,ELP_pdf
2025,6,El Paso,Marcelino Serna,Marcelino Serna Bridge,Commercial Trucks,4027,ELP_pdf
2025,6,El Paso,Marcelino Serna,Marcelino Serna Bridge,Passenger Vehicles,53043,ELP_pdf
2025,6,El Paso,Marcelino Serna,Marcelino Serna Bridge,Pedestrians/ Bicyclists,5939,ELP_pdf
2025,6,El Paso,Presidio,Boquillas,Buses,0,ELP_pdf
2025,6,El Paso,Presidio,Boquillas,Commercial Trucks,0,ELP_pdf
2025,6,El Paso,Presidio,Boquillas,Passenger Vehicles,0,ELP_pdf
2025,6,El Paso,Presidio,Boquillas,Pedestrians/ Bicyclists,1403,ELP_pdf
2025,6,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,190,ELP_pdf
2025,6,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,869,ELP_pdf
2025,6,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,62288,ELP_pdf
2025,6,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,15511,ELP_pdf
